Partido,Partido_Corrected,Posicion_Plebiscito,Lista2017
AMPLITUD,Amplitud,NA,Sumemos
INDEPENDIENTE AMPLITUD,Amplitud,NA,Sumemos
Votos Blancos,Blanco,NA,NA
VOTOS EN BLANCO,Blanco,NA,NA
CIUDADANOS,Ciudadanos,Apruebo,Sumemos
INDEPENDIENTE CIUDADANOS,Ciudadanos,Apruebo,Sumemos
DEMOCRATA CRISTIANO,Democracia Cristiana,Apruebo,Comvergencia Ciudadana
INDEPENDIENTE DEMOCRATA CRISTIANO,Democracia Cristiana,Apruebo,Comvergencia Ciudadana
PARTIDO DEMOCRATA CRISTIANO,Democracia Cristiana,Apruebo,Comvergencia Ciudadana
DEMOCRACIA REGIONAL PATAGONICA,Democracia Regional Patagónica,NA,Coalición Regionalista Verde
INDEPENDIENTE DEMOCRACIA REGIONAL PATAGONICA,Democracia Regional Patagónica,NA,Coalición Regionalista Verde
ECOLOGISTA VERDE,Ecologista Verde,Apruebo,Frente Amplio
INDEPENDIENTE ECOLOGISTA VERDE,Ecologista Verde,Apruebo,Frente Amplio
PARTIDO ECOLOGISTA VERDE,Ecologista Verde,Apruebo,Frente Amplio
INDEPENDIENTE EVOLUCION POLITICA,Evopóli,Dividido,Chile Vamos
EVOLUCION POLITICA,Evopóli,Dividido,Chile Vamos
FEDERACION REGIONALISTA VERDE SOCIAL,FRVS,Apruebo,Coalición Regionalista Verde
INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL,FRVS,Apruebo,Coalición Regionalista Verde
IGUALDAD,Igualdad,Apruebo,Frente Amplio
INDEPENDIENTE IGUALDAD,Igualdad,Apruebo,Frente Amplio
PARTIDO IGUALDAD,Igualdad,Apruebo,Frente Amplio
CANDIDATURA INDEPENDIENTE,Independiente,NA,NA
INDEPENDIENTE IZQUIERDA CIUDADANA DE CHILE,Izquierda Ciudadana,Apruebo,Comvergencia Ciudadana
IZQUIERDA CIUDADANA DE CHILE,Izquierda Ciudadana,Apruebo,Comvergencia Ciudadana
INDEPENDIENTE MAS REGION,MAS Región,Apruebo,Comvergencia Ciudadana
MAS REGION,MAS Región,Apruebo,Comvergencia Ciudadana
VOTOS NULOS,Nulo,NA,NA
Votos Nulos,Nulo,NA,NA
INDEPENDIENTE PAIS,PAIS,Apruebo,Por Todo Chile
PAIS,PAIS,Apruebo,Por Todo Chile
COMUNISTA DE CHILE,Partido Comunista,Apruebo,La Fuerza de la Mayoría
INDEPENDIENTE COMUNISTA DE CHILE,Partido Comunista,Apruebo,La Fuerza de la Mayoría
PARTIDO COMUNISTA DE CHILE,Partido Comunista,Apruebo,La Fuerza de la Mayoría
DE TRABAJADORES REVOLUCIONARIOS,Partido de Trabajadores Revolucionarios,Apruebo,Partido de Trabajadores Revolucionarios
INDEPENDIENTE HUMANISTA,Partido Humanista,Apruebo,Frente Amplio
PARTIDO HUMANISTA,Partido Humanista,Apruebo,Frente Amplio
HUMANISTA,Partido Humanista,Apruebo,Frente Amplio
INDEPENDIENTE LIBERAL DE CHILE,Partido Liberal,Apruebo,Frente Amplio
LIBERAL DE CHILE,Partido Liberal,Apruebo,Frente Amplio
PARTIDO LIBERAL DE CHILE,Partido Liberal,Apruebo,Frente Amplio
INDEPENDIENTE PROGRESISTA,Partido Progresista,Apruebo,Por Todo Chile
PARTIDO PROGRESISTA,Partido Progresista,Apruebo,Por Todo Chile
PROGRESISTA,Partido Progresista,Apruebo,Por Todo Chile
INDEPENDIENTE RADICAL SOCIALDEMOCRATA,Partido Radical,Apruebo,La Fuerza de la Mayoría
PARTIDO RADICAL SOCIALDEMOCRATA,Partido Radical,Apruebo,La Fuerza de la Mayoría
RADICAL SOCIALDEMOCRATA,Partido Radical,Apruebo,La Fuerza de la Mayoría
INDEPENDIENTE SOCIALISTA DE CHILE,Partido Socialista,Apruebo,La Fuerza de la Mayoría
PARTIDO SOCIALISTA DE CHILE,Partido Socialista,Apruebo,La Fuerza de la Mayoría
SOCIALISTA DE CHILE,Partido Socialista,Apruebo,La Fuerza de la Mayoría
INDEPENDIENTE PODER,Poder,Apruebo,Frente Amplio
PODER,Poder,Apruebo,Frente Amplio
INDEPENDIENTE POR LA DEMOCRACIA,PPD,Apruebo,La Fuerza de la Mayoría
PARTIDO POR LA DEMOCRACIA,PPD,Apruebo,La Fuerza de la Mayoría
POR LA DEMOCRACIA,PPD,Apruebo,La Fuerza de la Mayoría
INDEPENDIENTE REGIONALISTA INDEPENDIENTE,PRI,Apruebo,Chile Vamos
PARTIDO REGIONALISTA DE LOS INDEPENDIENTES,PRI,Apruebo,Chile Vamos
REGIONALISTA INDEPENDIENTE,PRI,Apruebo,Chile Vamos
INDEPENDIENTE RENOVACION NACIONAL,Renovación Nacional,Dividido,Chile Vamos
RENOVACION NACIONAL,Renovación Nacional,Dividido,Chile Vamos
RENOVACION NACIONAL,Renovación Nacional,Dividido,Chile Vamos
INDEPENDIENTE REVOLUCION DEMOCRATICA,Revolución Democrática,Apruebo,Frente Amplio
REVOLUCION DEMOCRATICA,Revolución Democrática,Apruebo,Frente Amplio
INDEPENDIENTE TODOS,TODOS,Apruebo,Sumemos
TODOS,TODOS,Apruebo,Sumemos
INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,UDI,Rechazo,Chile Vamos
UNION DEMOCRATA INDEPENDIENTE,UDI,Rechazo,Chile Vamos
UNION DEMOCRATA INDEPENDIENTE,UDI,Rechazo,Chile Vamos
UNION PATRIOTICA,Union Patriótica,Apruebo,Unión Patriótica